HID	PA
41927	0
41928	0
41929	1
41930	1
41931	1
41932	1
41933	1
41934	1
41935	1
41936	1
41937	1
41948	1
41949	1
41950	1
41952	1
41953	1
41954	1
41955	1
41956	1
41957	1
41958	1
41959	1
42001	0
42002	0
42003	0
42004	0
42005	0
42006	0
42007	0
42008	0
42009	0
42010	0
42011	0
42012	1
42013	1
42014	1
42015	1
42016	1
42017	1
42018	1
42019	1
42030	1
42031	1
42034	1
42035	1
42036	1
42037	1
42038	1
42039	1
42040	1
42083	0
42084	0
42085	0
42086	0
42087	0
42088	0
42089	0
42090	0
42091	0
42092	0
42093	0
42094	0
42095	1
42096	1
42097	1
42098	1
42099	1
42100	1
42101	1
42111	1
42112	1
42115	1
42116	1
42117	1
42118	1
42119	1
42120	1
42121	1
42163	0
42164	0
42165	0
42166	0
42167	0
42168	0
42169	0
42170	0
42171	0
42172	0
42173	0
42174	0
42175	0
42176	1
42177	1
42178	1
42179	1
42180	1
42181	1
42182	1
42192	1
42193	1
42195	1
42196	1
42197	1
42198	1
42199	1
42200	1
42201	1
42202	1
42245	0
42246	0
42247	0
42248	0
42249	0
42250	0
42251	0
42252	0
42253	0
42254	0
42255	0
42256	0
42257	1
42258	1
42259	1
42260	1
42261	1
42262	1
42263	1
42264	1
42273	1
42274	1
42276	1
42277	1
42278	1
42279	1
42280	1
42281	1
42282	1
42283	1
42327	0
42328	0
42329	0
42330	0
42331	0
42332	0
42333	0
42334	0
42335	0
42336	0
42337	0
42338	0
42339	1
42340	1
42341	1
42342	1
42343	1
42344	1
42345	1
42354	1
42355	1
42356	1
42358	1
42359	1
42360	1
42361	1
42362	1
42363	1
42364	1
42407	0
42408	0
42409	0
42410	0
42411	0
42412	0
42413	0
42414	0
42415	0
42416	0
42417	0
42418	0
42419	0
42420	1
42421	1
42422	1
42423	1
42424	1
42425	1
42426	1
42435	1
42436	1
42439	1
42440	1
42441	1
42442	1
42443	1
42444	1
42445	1
42489	0
42490	0
42491	0
42492	0
42493	0
42494	0
42495	0
42496	0
42497	0
42498	0
42499	0
42500	0
42501	1
42502	1
42503	1
42504	1
42505	1
42506	1
42507	1
42508	1
42516	1
42517	1
42520	1
42521	1
42522	1
42523	1
42524	1
42525	1
42526	1
42571	0
42572	0
42573	0
42574	0
42575	0
42576	0
42577	0
42578	0
42579	0
42580	0
42581	0
42582	0
42583	1
42584	1
42585	1
42586	1
42587	1
42588	1
42589	1
42597	1
42598	1
42599	1
42601	1
42602	1
42603	1
42604	1
42605	1
42606	1
42607	1
42651	0
42652	0
42653	0
42654	0
42655	0
42656	0
42657	0
42658	0
42659	0
42660	0
42661	0
42662	0
42663	0
42664	0
42665	1
42666	1
42667	1
42668	1
42669	1
42670	1
42678	1
42679	1
42682	1
42683	1
42684	1
42685	1
42686	1
42687	1
42688	1
42733	0
42734	0
42735	0
42736	0
42737	0
42738	0
