HID	PA
52443	0
52444	0
52445	0
52446	0
52466	0
52467	0
52468	0
52469	1
52470	1
52471	1
52472	1
52473	1
52474	0
52475	0
52476	0
52477	0
52520	0
52521	0
52522	1
52523	1
52524	1
52525	0
52526	0
52527	0
52528	0
52547	0
52548	0
52549	0
52550	1
52551	1
52552	1
52553	1
52554	1
52555	1
52556	0
52557	0
52558	0
52559	0
52601	0
52602	1
52603	1
52604	1
52605	1
52606	0
52607	0
52608	0
52609	0
52628	0
52629	0
52630	0
52631	1
52632	1
52633	1
52634	1
52635	1
52636	1
52637	0
52638	0
52639	0
52640	0
52682	0
52683	1
52684	1
52685	1
52686	1
52687	0
52688	0
52689	0
52690	0
52709	0
52710	0
52711	0
52712	0
52713	1
52714	1
52715	1
52716	1
52717	1
52718	0
52719	0
52720	0
52721	0
52763	0
52764	1
52765	1
52766	1
52767	1
52768	1
52769	0
52770	0
52771	0
52772	0
52791	0
52792	0
52793	0
52794	1
52795	1
52796	1
52797	1
52798	1
52799	1
52800	0
52801	0
52802	0
52803	0
52844	1
52845	1
52846	1
52847	1
52848	1
52849	1
52850	0
52851	0
52852	0
52853	0
52871	0
52872	0
52873	0
52874	1
52875	1
52876	1
52877	1
52878	1
52879	1
52880	1
52881	0
52882	0
52883	0
52925	1
52926	1
52927	1
52928	1
52929	1
52930	1
52931	0
52932	0
52933	0
52934	0
52953	0
52954	0
52955	0
52956	1
52957	1
52958	1
52959	1
52960	1
52961	1
52962	0
52963	0
52964	0
52965	0
53006	0
53007	1
53008	1
53009	1
53010	1
53011	1
53012	1
53013	0
53014	0
53015	0
53016	0
53034	0
53035	0
53036	0
53037	1
53038	1
53039	1
53040	1
53041	1
53042	1
53043	1
53044	0
53045	0
53046	0
53086	0
53087	0
53088	1
53089	1
53090	1
53091	1
53092	1
53093	1
53094	0
53095	0
53096	0
53097	0
53115	0
53116	0
53117	0
53118	1
53119	1
53120	1
53121	1
53122	1
53123	1
53124	1
53125	0
53126	0
53127	0
53168	0
53169	1
53170	1
53171	1
53172	1
53173	1
53174	1
53175	0
53176	0
53177	0
53178	0
53196	0
53197	0
53198	0
53199	0
53200	1
53201	1
53202	1
53203	1
53204	1
53205	1
53206	0
53207	0
53208	0
53249	1
53250	1
53251	1
53252	1
53253	1
53254	1
53255	1
53256	1
53257	0
53258	0
53259	0
53260	0
53278	0
53279	0
53280	0
53281	1
53282	1
53283	1
53284	1
53285	1
53286	1
53287	1
53288	0
53289	0
53290	0
53329	1
53330	1
53331	1
53332	1
53333	1
53334	1
53335	1
53336	1
53337	1
53338	0
53339	0
53340	0
53358	0
53359	0
53360	0
53361	0
53362	1
53363	1
53364	1
53365	1
53366	1
53367	1
53368	0
53369	0
53370	0
53411	1
53412	1
53413	1
53414	1
53415	1
53416	1
53417	1
53418	1
53419	0
53420	0
53421	0
53422	0
53440	0
53441	0
53442	0
53443	0
53444	1
53445	1
53446	1
53447	1
53448	1
53449	0
53450	0
53451	0
53452	0
53492	1
53493	1
53494	1
53495	1
53496	1
53497	1
53498	1
53499	1
53500	1
53501	0
53502	0
53503	0
53521	0
53522	0
53523	0
53524	0
53525	1
53526	1
53527	1
53528	1
53529	1
53530	1
53531	0
53532	0
53533	0
53534	0
53572	1
53573	1
53574	1
53575	1
53576	1
53577	1
53578	1
53579	1
53580	1
53581	1
53582	0
53583	0
53584	0
53602	0
53603	0
53604	0
53605	1
53606	1
53607	1
53608	1
53609	1
53610	1
53611	1
53612	0
53613	0
53614	0
53653	0
53654	1
53655	1
53656	1
53657	1
53658	1
53659	1
53660	1
53661	1
53662	1
53663	0
53664	0
53665	0
53666	0
53684	0
53685	0
53686	0
53687	1
53688	1
53689	1
53690	1
53691	1
53692	1
53693	0
53694	0
53695	0
53696	0
53734	0
53735	1
53736	1
53737	1
53738	1
53739	1
53740	1
53741	1
53742	1
53743	1
53744	0
53745	0
53746	0
53747	0
53765	0
53766	0
53767	0
53768	1
53769	1
53770	1
53771	1
53772	1
53773	1
53774	1
53775	0
53776	0
53777	0
53814	0
53815	1
53816	1
53817	1
53818	1
53819	1
53820	1
53821	1
53822	1
53823	1
53824	1
53825	0
53826	0
53827	0
53828	0
53846	0
53847	0
53848	0
53849	1
53850	1
53851	1
53852	1
53853	1
53854	1
53855	0
53856	0
53857	0
53858	0
53895	0
53896	0
53897	1
53898	1
53899	1
53900	1
53901	1
53902	1
53903	1
53904	1
53905	1
53906	1
53907	0
53908	0
53909	0
53910	0
53927	0
53928	0
53929	0
53930	0
53931	1
53932	1
53933	1
53934	1
53935	1
53936	1
53937	0
53938	0
53939	0
53976	0
53977	0
53978	1
53979	1
53980	1
53981	1
53982	1
53983	1
53984	1
53985	1
53986	1
53987	1
53988	0
53989	0
53990	0
53991	0
54009	0
54010	0
54011	0
54012	1
54013	1
54014	1
54015	1
54016	1
54017	1
54018	1
54019	0
54020	0
54021	0
54057	0
54058	0
54059	1
54060	1
54061	1
54062	1
54063	1
54064	1
54065	1
54066	1
54067	1
54068	1
54069	0
54070	0
54071	0
54072	0
54089	0
54090	0
54091	0
54092	0
54093	1
54094	1
54095	1
54096	1
54097	1
54098	1
54099	0
54100	0
54101	0
54138	0
54139	0
54140	1
54141	1
54142	1
54143	1
54144	1
54145	1
54146	1
54147	1
54148	1
54149	1
54150	1
54151	0
54152	0
54153	0
54171	0
54172	0
54173	0
54174	0
54175	1
54176	1
54177	1
54178	1
54179	1
54180	0
54181	0
54182	0
