Feature	R	S	R.Frequency	S.Frequency	SI.Mean	SI.P.Mean	SI.Min	SI.P.Min
R20MM	TRUE	FALSE	0.95	0	47.2077085294944	0.981404328546574	10.1251277195269	0.856289475877105
BIO04	TRUE	FALSE	0.73	0	46.2783584797996	0.979112705640394	10.2425660138622	0.857225152893003
BIO03	TRUE	TRUE	0.58	0.81	47.3800228596605	0.974614724071395	9.50771714835622	0.810153051096472
BIO08	TRUE	FALSE	0.58	0	48.1356183071299	0.984369453402375	13.4858720549221	0.871149849392568
BIO19	FALSE	TRUE	0	0.8	48.2162660154491	0.995143746723899	17.5886991900231	0.965798556964033
CDD	FALSE	TRUE	0	0.7	46.7492024340919	0.972364621831791	9.20527423571694	0.759165944306768
BIO02	FALSE	TRUE	0	0.64	47.0159531201916	0.995259054064601	15.305952728471	0.968016552300624
R.Mean	FALSE	FALSE	0	0	47.2504270440211	0.979875302915185	10.8403207341669	0.848704382314787
S.Mean	FALSE	FALSE	0	0	47.3403611073483	0.984345536672922	12.9019108256418	0.875783526166974
