HID	PA
75640	1
75641	1
75642	1
75718	0
75719	0
75720	0
75721	1
75722	1
75723	0
75800	0
75801	0
75802	1
75803	1
75804	1
75881	0
75882	0
75883	0
75884	1
75885	1
75886	0
75962	0
75963	0
75964	1
75965	1
75966	1
76044	0
76045	0
76046	1
76047	1
76048	1
76125	0
76126	0
76127	1
76128	1
76129	1
76206	0
76207	0
76208	1
76209	1
76210	1
76287	0
76288	0
76289	1
76290	1
76291	1
76292	0
76369	0
76370	0
76371	1
76372	1
76373	1
76374	0
76449	0
76450	0
76451	0
76452	0
76453	1
76454	0
76531	0
76532	0
76533	0
76534	1
76535	1
76536	0
76612	0
76613	0
76614	0
76615	0
76616	1
76617	1
76618	0
76693	0
76694	0
76695	0
76696	1
76697	1
76698	0
76699	0
76775	0
76776	0
76777	0
76778	0
76779	0
76780	0
76781	0
76857	0
76858	0
76859	0
76860	0
76861	0
76862	0
76938	0
76939	0
76940	0
76941	0
76942	0
76943	0
77019	0
77020	0
77021	0
77022	0
77023	0
77024	0
77101	0
77102	0
77103	0
77104	0
77105	0
77182	0
77183	0
77184	0
77185	0
77264	0
77265	0
77266	0
77346	0
77347	0
