HID	PA
2936	0
2937	0
2938	0
2939	0
2940	1
2941	1
2961	1
2962	1
2964	1
2965	1
2966	1
2967	1
2968	0
2969	0
2970	0
2971	0
2972	0
2973	0
2974	0
2975	0
2976	0
2977	0
2978	0
2979	1
2980	1
2981	1
2982	1
3016	0
3017	0
3018	0
3019	0
3020	1
3021	1
3022	1
3042	1
3043	1
3045	1
3046	1
3048	0
3049	0
3050	0
3051	0
3052	0
3054	0
3055	0
3056	0
3057	0
3058	0
3059	0
3060	1
3061	1
3062	1
3063	1
3098	0
3099	0
3100	0
3101	0
3102	1
3103	1
3115	1
3116	1
3119	1
3123	1
3124	1
3125	1
3126	1
3127	1
3128	1
3130	0
3131	0
3132	0
3133	0
3136	0
3137	0
3138	0
3139	0
3140	0
3141	0
3142	1
3143	1
3144	1
3145	1
3146	1
3179	0
3180	0
3181	0
3182	0
3183	0
3184	1
3185	1
3197	1
3198	1
3200	1
3205	1
3206	1
3207	1
3208	1
3209	1
3212	0
3213	0
3214	0
3218	0
3219	0
3220	0
3221	0
3222	0
3223	1
3224	1
3225	1
3226	1
3227	1
3228	1
3260	0
3261	0
3262	0
3263	0
3264	1
3265	1
3266	1
3280	1
3286	1
3287	1
3288	1
3289	1
3292	0
3293	0
3294	0
3299	0
3300	0
3301	0
3302	0
3303	0
3304	1
3305	1
3306	1
3307	1
3308	1
3342	0
3343	0
3344	0
3345	0
3346	1
3347	1
3367	1
3368	1
3369	1
3370	1
3373	0
3374	0
3375	0
3376	0
3381	0
3382	0
3383	0
3384	0
3385	0
3386	1
3387	1
3388	1
3424	0
3425	0
3426	0
3427	0
3428	1
3429	1
3430	1
3438	1
3441	1
3447	1
3449	1
3451	1
3452	1
3454	1
3455	0
3456	0
3457	0
3463	0
3464	0
3465	0
3466	0
3467	0
3468	1
3469	1
3470	1
3472	1
3504	0
3505	0
3506	0
3507	0
3508	0
3509	1
3510	1
3518	1
3521	1
3522	1
3529	1
3530	1
3531	1
3532	1
3535	1
3536	0
3537	0
3538	0
3544	0
3545	0
3546	0
3547	0
3548	1
3549	1
3550	1
3551	1
3552	1
3586	0
3587	0
3588	0
3589	0
3590	1
3591	1
3592	1
3599	1
3600	1
3603	1
3605	1
3609	1
3611	1
3612	1
3613	1
3614	1
3616	1
3617	0
3618	0
3619	0
3622	0
3626	0
3627	0
3628	0
3629	0
3630	1
3631	1
3632	1
3633	1
3634	1
3668	0
3669	0
3670	0
3671	0
3672	1
3673	1
3674	1
3675	1
3679	1
3680	1
3681	1
3682	1
3684	1
3685	1
3693	1
3694	1
3695	1
3697	1
3698	1
3699	0
3700	0
3701	0
3703	0
3704	0
3707	0
3708	0
3709	0
3710	0
3711	0
3712	1
3713	1
3714	1
3715	1
3748	0
3749	0
3750	0
3751	0
3752	0
3753	1
3754	1
3755	1
3756	1
3760	1
3761	1
3762	1
3763	1
3765	1
3766	1
3767	1
3774	1
3775	1
3776	1
3778	1
3779	0
3780	0
3781	0
3783	0
3784	0
3785	0
3788	0
3789	0
3790	0
3791	0
3792	0
3793	1
3794	1
3795	1
3796	1
3830	0
3831	0
3832	0
3833	0
3834	1
