HID	PA
42170	0
42171	0
42172	0
42173	1
42174	1
42175	1
42176	1
42177	1
42178	1
42179	1
42180	1
42181	1
42182	1
42245	0
42246	0
42247	0
42248	0
42249	0
42250	0
42251	0
42252	0
42253	0
42254	0
42255	1
42256	1
42257	1
42258	1
42259	1
42260	1
42261	1
42262	1
42263	1
42264	1
42326	0
42327	0
42328	0
42329	0
42330	0
42331	0
42332	0
42333	0
42334	0
42335	0
42336	1
42337	1
42338	1
42339	1
42340	1
42341	1
42342	1
42343	1
42344	1
42345	1
42406	0
42407	0
42408	0
42409	0
42410	0
42411	0
42412	0
42413	0
42414	0
42415	0
42416	1
42417	1
42418	1
42419	1
42420	1
42421	1
42422	1
42423	1
42424	1
42425	1
42426	1
42487	0
42488	0
42489	0
42490	0
42491	0
42492	0
42493	0
42494	0
42495	0
42496	1
42497	1
42498	1
42499	1
42500	1
42501	1
42502	1
42503	1
42504	1
42505	1
42506	1
42507	1
42508	1
42568	0
42569	0
42570	0
42571	0
42572	0
42573	0
42574	0
42575	0
42576	0
42577	0
42578	1
42579	1
42580	1
42581	1
42582	1
42583	1
42584	1
42585	1
42586	1
42587	1
42588	1
42589	1
42649	0
42650	0
42651	0
42652	0
42653	0
42654	0
42655	0
42656	0
42657	0
42658	0
42659	1
42660	1
42661	1
42662	1
42663	1
42664	1
42665	1
42666	1
42667	1
42668	1
42669	1
42670	1
42730	0
42731	0
42732	0
42733	0
42734	0
42735	0
42736	0
42737	0
42738	0
42739	0
42740	1
42741	1
42742	1
42743	1
42744	1
42745	1
42746	1
42747	1
42748	1
42749	1
42750	1
42751	1
42752	1
42811	0
42812	0
42813	0
42814	0
42815	0
42816	0
42817	0
42818	0
42819	0
42820	0
42821	1
42822	1
42823	1
42824	1
42825	1
42826	1
42827	1
42828	1
42829	1
42830	1
42831	1
42832	1
42833	1
42834	1
42891	0
42892	0
42893	0
42894	0
42895	0
42896	0
42897	0
42898	0
42899	0
42900	0
42901	1
42902	1
42903	1
42904	1
42905	1
42906	1
42907	1
42908	1
42909	1
42910	1
42911	1
42912	1
42913	1
42914	1
42915	1
42972	0
42973	0
42974	0
42975	0
42976	0
42977	0
42978	0
42979	0
42980	0
42981	0
42982	1
42983	1
42984	1
42985	1
42986	1
42987	1
42988	1
42989	1
42990	1
42991	1
42992	1
42993	1
42994	1
42995	1
42996	1
43053	0
43054	0
43055	0
43056	0
43057	0
43058	0
43059	0
43060	0
43061	0
43062	0
43063	1
43064	1
43065	1
43066	1
43067	1
43068	1
43069	1
43070	1
43071	1
43072	1
43073	1
43074	1
43075	1
43076	1
43077	1
43078	1
43134	0
43135	0
43136	0
43137	0
43138	0
43139	0
43140	0
43141	0
43142	0
43143	1
43144	1
43145	1
43146	1
43147	1
43148	1
43149	1
43150	1
43151	1
43152	1
43153	1
43154	1
43155	1
43156	1
43157	1
43215	0
43216	0
43217	0
43218	0
43219	0
43220	0
43221	0
43222	0
43223	0
43224	1
43225	1
43226	1
43227	1
43228	1
43229	1
43230	1
43231	1
43232	1
43233	1
43234	1
43235	1
43236	1
43237	1
43238	1
43239	1
43297	0
43298	0
43299	0
43300	0
43301	0
43302	0
43303	0
43304	0
43305	1
43306	1
43307	1
43308	1
43309	1
43310	1
43311	1
43312	1
43313	1
43314	1
43315	1
43316	1
43317	1
43318	1
43319	1
43320	1
43377	0
43378	0
43379	0
43380	0
43381	0
43382	0
43383	0
43384	0
43385	1
43386	1
43387	1
43388	1
43389	1
43390	1
43391	1
43392	1
43393	1
43394	1
43395	1
43396	1
43397	1
43398	1
43400	1
43458	0
43459	0
43460	0
43461	0
43462	0
43463	0
43464	0
43465	0
43466	1
43467	1
43468	1
43469	1
43470	1
43471	1
43472	1
43473	1
43474	1
43475	1
43476	1
43477	1
43478	1
43479	1
43480	1
43540	0
43541	0
43542	0
43543	0
43544	0
43545	0
43546	0
43547	0
43548	1
43549	1
43550	1
43551	1
43552	1
43553	1
43554	1
43555	1
43556	1
43557	1
43558	1
43559	1
43560	1
43561	1
43620	0
43621	0
43622	0
43623	0
43624	0
43625	0
43626	0
43627	0
43628	0
43629	1
43630	1
43631	1
43632	1
43633	1
43634	1
43635	1
43636	1
43637	1
43638	1
43639	1
43640	1
43641	1
43642	1
43702	0
43703	0
43704	0
43705	0
43706	0
43707	0
43708	0
43709	1
43710	1
43711	1
43712	1
43713	1
43714	1
43715	1
43716	1
43717	1
43718	1
43719	1
43720	1
43721	1
43722	1
43723	1
43783	0
43784	0
43785	0
43786	0
43787	0
43788	0
43789	0
43790	1
43791	1
43792	1
43793	1
43794	1
43795	1
43796	1
43797	1
43798	1
43799	1
43800	1
43801	1
43802	1
43803	1
43804	1
43805	1
43864	0
43865	0
43866	0
43867	0
43868	0
43869	0
43870	1
43871	1
43872	1
43873	1
43874	1
43875	1
43876	1
43877	1
43878	1
43879	1
43880	1
43881	1
43882	1
43883	1
43884	1
43885	1
43945	0
43946	0
43947	0
43948	0
43949	0
43950	0
43951	1
43952	1
43953	1
43954	1
43955	1
43956	1
43957	1
43958	1
43959	1
43960	1
43961	1
43962	1
43963	1
43964	1
43965	1
43966	1
43967	1
44027	0
44028	0
44029	0
44030	0
44031	0
44032	0
44033	1
44034	1
44035	1
44036	1
44037	1
44038	1
44039	1
44040	1
44041	1
44042	1
44043	1
44044	1
44045	1
44046	1
44047	1
44048	1
44107	0
44108	0
44109	0
44110	0
44111	0
44112	0
44113	1
44114	1
44115	1
44116	1
44117	1
44118	1
44119	1
44120	1
44121	1
44122	1
44123	1
44124	1
44125	1
44126	1
44127	1
44128	1
44189	0
44190	0
44191	0
44192	0
44193	0
44194	0
44195	1
44196	1
44197	1
44198	1
44199	1
44200	1
44201	1
44202	1
44203	1
44204	1
44205	1
44206	1
44207	1
44208	1
44209	1
44210	1
44270	0
44271	0
44272	0
44273	0
44274	0
44275	0
44276	1
44277	1
44278	1
44279	1
44280	1
44281	1
44282	1
44283	1
44284	1
44285	1
44286	1
44287	1
44288	1
44289	1
44290	1
44291	1
44292	1
44351	0
44352	0
44353	0
44354	0
44355	0
44356	1
44357	1
44358	1
44359	1
44360	1
44361	1
44362	1
44363	1
44364	1
44365	1
44366	1
44367	1
44368	1
44369	1
44370	1
44371	1
44372	1
44432	0
44433	0
44434	0
44435	0
44436	0
44437	0
44438	1
44439	1
44440	1
44441	1
44442	1
44443	1
44444	1
44445	1
44446	1
44447	1
44448	1
44449	1
44450	1
44451	1
44452	1
44453	1
44454	1
44514	0
44515	0
44516	0
44517	0
44518	0
44519	0
44520	1
44521	1
44522	1
44523	1
44524	1
44525	1
44526	1
44527	1
44528	1
44529	1
44530	1
44531	1
44532	1
44533	1
44534	1
44535	1
44594	0
44595	0
44596	0
44597	0
44598	0
44599	0
44600	1
44601	1
44602	1
44603	1
44604	1
44605	1
44606	1
44607	1
44608	1
44609	1
44610	1
44611	1
44612	1
44613	1
44614	1
44615	1
44616	1
44676	0
44677	0
44678	0
44679	0
44680	0
44681	0
44682	1
44683	1
44684	1
44685	1
44686	1
44687	1
44688	1
44689	1
44690	1
44691	1
44692	1
44693	1
44694	1
44695	1
44696	1
44697	1
44757	0
44758	0
44759	0
44760	0
44761	0
44762	0
44763	0
44764	0
44765	1
44766	1
44767	1
44768	1
44769	1
44770	1
44771	1
44772	1
44773	1
44774	1
44775	1
44776	1
44777	1
44778	1
44779	1
44838	0
44839	0
44840	0
44841	0
44842	0
44843	0
44844	0
44845	1
44846	1
44847	1
44848	1
44849	1
44850	1
44851	1
44852	1
44853	1
44854	1
44855	1
44856	1
44857	1
44858	1
44859	1
44919	0
44920	0
44921	0
44922	0
44923	0
44924	0
44925	0
44926	0
44927	1
44928	1
44929	1
44930	1
44931	1
44932	1
44933	1
44934	1
44935	1
44936	1
44937	1
44938	1
44939	1
44940	1
44941	1
45001	0
45002	0
45003	0
45004	0
45005	0
45006	0
45007	0
45008	0
45009	0
45010	1
45011	0
45012	1
45013	1
45014	1
45015	1
45016	1
45017	1
45018	1
45019	1
45020	1
45021	1
45022	1
45081	0
45082	0
45083	0
45084	0
45085	0
45086	0
45087	0
45088	0
45089	0
